,price,address,city,beds,baths,property_size
0,"$525,000", 1 Hollow Brook Rd,Tewksbury Twp. NJ 07830 ,3 beds ,2 baths ,
1,"$1,399,000", 58 Hollow Brook Road,Tewksbury Twp. NJ 07830 ,5 beds ,3 baths ,
2,"$449,000", 33 Main St,Califon Boro NJ 07830 ,3 beds ,2 baths ,
3,"$759,900", 4 Shenandoah Ct,Washington Twp. NJ 07830 ,6 beds ,3 baths ,
4,"$815,000", 12 Cold Springs Rd,Tewksbury Twp. NJ 07830 ,5 beds ,3 baths ,
5,"$419,000", 2 Big Oak Way,Califon NJ 07830 ,3 beds ,2 baths ,
6,"$350,000", 65 Bunnvale Rd,Lebanon Twp. NJ 07830 ,3 beds ,1 bath ,
7,"$279,000", 34 Philhower Rd,Tewksbury Twp. NJ 07830 ,,,
8,"$1,500,000", 42 Homestead Rd,Tewksbury Twp. NJ 07830 ,5 beds ,5 baths ,
9,"$625,000", 3 Dogwood Ln,Tewksbury Twp. NJ 07830 ,4 beds ,2 baths ,
10,"$599,900", 69 Fairmount Rd West,Tewksbury Twp. NJ 07830 ,4 beds ,2 baths ,
11,"$649,900", 105 Guinea Hollow Rd,Califon Boro NJ 07830 ,4 beds ,3 baths ,
12,"$710,000", 71 Big Spring Rd,Tewksbury Twp. NJ 07830 ,4 beds ,2 baths ,
13,"$1,049,000", 112 Old Turnpike Road,Tewksbury Twp. NJ 07830 ,4 beds ,3 baths ,
14,"$459,900", 252 W Valley Brook Rd,Washington Twp. NJ 07830 ,3 beds ,2 baths ,
15,"$680,000", 65 Big Spring Rd,Tewksbury Twp. NJ 07830 ,4 beds ,2 baths ,
16,"$389,000", 19 Railroad Avenue,Califon NJ 07830 ,3 beds ,2 baths ,
17,"$457,900", 665 Winding Brook Ln,Lebanon Twp. NJ 07830 ,3 beds ,2 baths ,
18,"$1,525,000", 4 Alder Creek Dr,Tewksbury Twp. NJ 07830 ,5 beds ,4 baths ,
19,"$999,900", 6 Pace Farm Rd,Tewksbury Twp. NJ 07830 ,4 beds ,3 baths ,
20,"$999,900", 6 Pace Farm Rd,Tewksbury Twp. NJ 07830 ,4 beds ,3 baths ,
